Product ID,Product Name,Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Sales Date,Region,Sales Channel,Customer ID,Customer Segment,Salesperson ID,Discount Type,Return Reason,Order ID,Payment Method,,Months
341,Product_341,Art & Sculpture,30,2254.62,217.55,219.73,1817.34,7/9/2024,East,In-store,CUST_8684,New,SP_5348,Fixed Amount,-,ORD_62290,Online Payment,,July
367,Product_367,Home Decor,34,1051.92,382.12,467.8,202.00000000000006,7/9/2024,East,In-store,CUST_3538,High-value,SP_4109,Percentage,Defective,ORD_28555,Credit Card,,July
407,Product_407,Art & Sculpture,35,1107.12,14.77,410.33,682.02,7/9/2024,South,In-store,CUST_3917,New,SP_3862,Fixed Amount,Change of Mind,ORD_33264,Online Payment,,July
409,Product_409,Basket,15,1995.11,180.05,187.45,1627.61,7/9/2024,North,Online,CUST_4994,Frequent,SP_7058,Percentage,Not as Described,ORD_47097,Credit Card,,July
473,Product_473,Christmas,37,4963.94,317.01,359.86,4287.07,7/9/2024,South,Online,CUST_5508,New,SP_3659,Fixed Amount,Defective,ORD_81494,Cash,,July
499,Product_499,Christmas,16,1223.37,179.97,124.12,919.2799999999999,7/9/2024,East,Online,CUST_2811,New,SP_1686,Fixed Amount,-,ORD_44534,Online Payment,,July
533,Product_533,Christmas,44,4222.36,471.12,410.01,3341.2299999999996,7/9/2024,South,In-store,CUST_2142,New,SP_9606,Fixed Amount,Not as Described,ORD_22716,Credit Card,,July
537,Product_537,Christmas,30,2623.31,296.8,151.05,2175.4599999999996,7/9/2024,South,Online,CUST_1256,New,SP_4667,Fixed Amount,Defective,ORD_41309,Online Payment,,July
547,Product_547,Christmas,19,1911.24,415.11,88.71,1407.42,7/9/2024,North,Online,CUST_3911,Frequent,SP_9735,Fixed Amount,-,ORD_74427,Cash,,July
620,Product_620,Christmas,38,3502.88,435.14,29.16,3038.5800000000004,7/9/2024,West,Online,CUST_5631,Frequent,SP_4428,Fixed Amount,Change of Mind,ORD_53746,Cash,,July
630,Product_630,Art & Sculpture,6,3042.58,289.91,8.66,2744.01,7/9/2024,East,Online,CUST_8433,New,SP_2477,Fixed Amount,-,ORD_43235,Online Payment,,July
706,Product_706,Home Decor,16,3625.01,40.82,149.98,3434.21,7/9/2024,West,Online,CUST_8014,High-value,SP_5786,Fixed Amount,Not as Described,ORD_84982,Online Payment,,July
724,Product_724,Art & Sculpture,33,3745.93,83.87,432.14,3229.92,7/9/2024,North,In-store,CUST_4141,New,SP_5123,Fixed Amount,Defective,ORD_59208,Cash,,July
742,Product_742,Christmas,42,3133.93,17.8,114.47,3001.66,7/9/2024,North,In-store,CUST_8008,New,SP_2878,Percentage,Not as Described,ORD_85468,Credit Card,,July
812,Product_812,Basket,6,3094.92,220.22,266.36,2608.34,7/9/2024,West,Online,CUST_4061,Frequent,SP_1707,Fixed Amount,Not as Described,ORD_16324,Online Payment,,July
885,Product_885,Christmas,43,1388.33,18.4,388.85,981.0799999999998,7/9/2024,North,Online,CUST_8654,High-value,SP_6297,Fixed Amount,Defective,ORD_56251,Cash,,July
890,Product_890,Home Decor,30,3340.24,62.19,467.99,2810.0599999999995,7/9/2024,South,Online,CUST_2043,New,SP_7502,Fixed Amount,Not as Described,ORD_40274,Credit Card,,July
896,Product_896,Christmas,30,1349,402.51,128.43,818.06,7/9/2024,North,Online,CUST_2816,New,SP_1620,Percentage,-,ORD_87507,Credit Card,,July
926,Product_926,Christmas,21,3992.84,18.91,68.86,3905.07,7/9/2024,South,In-store,CUST_5128,High-value,SP_2513,Percentage,-,ORD_40390,Online Payment,,July
948,Product_948,Christmas,46,3527.85,426.15,79.98,3021.72,7/9/2024,North,In-store,CUST_3636,Frequent,SP_3692,Percentage,-,ORD_85734,Online Payment,,July
954,Product_954,Art & Sculpture,48,3816.61,329.05,248.69,3238.87,7/9/2024,West,Online,CUST_6047,High-value,SP_8681,Fixed Amount,Not as Described,ORD_42673,Cash,,July
986,Product_986,Christmas,18,2623.99,104.38,407.47,2112.1399999999994,7/9/2024,West,Online,CUST_5932,New,SP_5093,Fixed Amount,Defective,ORD_21933,Online Payment,,July
999,Product_999,Home Decor,7,2499.05,107.06,94.98,2297.01,7/9/2024,East,In-store,CUST_7001,New,SP_1619,Fixed Amount,-,ORD_22082,Credit Card,,July
1163,Product_1163,Home Decor,23,2628.49,466.25,308.69,1853.5499999999997,7/9/2024,North,In-store,CUST_9381,New,SP_6841,Fixed Amount,Change of Mind,ORD_44971,Credit Card,,July
1195,Product_1195,Christmas,28,3060.01,292.95,179.81,2587.2500000000005,7/9/2024,East,Online,CUST_4497,High-value,SP_3388,Fixed Amount,Change of Mind,ORD_10104,Cash,,July
1196,Product_1196,Christmas,38,2841.16,101.42,109.51,2630.2299999999996,7/9/2024,North,Online,CUST_8566,New,SP_3884,Percentage,Defective,ORD_48089,Cash,,July
1235,Product_1235,Basket,47,3552.12,203.73,250.74,3097.6499999999996,7/9/2024,West,In-store,CUST_8895,New,SP_1170,Fixed Amount,Defective,ORD_77010,Online Payment,,July
1244,Product_1244,Art & Sculpture,38,2757.64,133.43,60.44,2563.77,7/9/2024,North,Online,CUST_7875,Frequent,SP_8804,Fixed Amount,Not as Described,ORD_25715,Credit Card,,July
1250,Product_1250,Basket,9,4089.1,478.18,226.59,3384.33,7/9/2024,South,Online,CUST_9509,New,SP_9732,Percentage,Not as Described,ORD_79370,Credit Card,,July
1288,Product_1288,Basket,32,3403.53,427.29,336.55,2639.69,7/9/2024,East,Online,CUST_5661,High-value,SP_5283,Percentage,Defective,ORD_40495,Cash,,July
1375,Product_1375,Home Decor,49,1137.7,52.93,30.49,1054.28,7/9/2024,West,In-store,CUST_7989,New,SP_6879,Fixed Amount,Defective,ORD_40721,Credit Card,,July
1569,Product_1569,Art & Sculpture,48,1049.62,395.3,169.09,485.2299999999999,7/9/2024,South,Online,CUST_6435,New,SP_8381,Percentage,-,ORD_62774,Cash,,July
1570,Product_1570,Christmas,12,2979.85,427.57,189.55,2362.7299999999996,7/9/2024,West,Online,CUST_4343,New,SP_5029,Percentage,-,ORD_17372,Online Payment,,July
1575,Product_1575,Basket,36,3972.71,60.66,122.78,3789.27,7/9/2024,East,In-store,CUST_2526,High-value,SP_1198,Percentage,-,ORD_80099,Online Payment,,July
1576,Product_1576,Christmas,28,3974.83,30.34,386.86,3557.6299999999997,7/9/2024,East,Online,CUST_9337,New,SP_2423,Fixed Amount,-,ORD_57941,Credit Card,,July
1587,Product_1587,Home Decor,22,3103.36,324.57,368.49,2410.3,7/9/2024,North,Online,CUST_2122,New,SP_5069,Fixed Amount,Defective,ORD_51389,Cash,,July
1665,Product_1665,Christmas,47,3681.52,354.42,63.47,3263.63,7/9/2024,North,Online,CUST_4428,New,SP_9697,Percentage,-,ORD_85775,Cash,,July
1742,Product_1742,Home Decor,41,1234.42,490.79,47.35,696.2800000000001,7/9/2024,South,In-store,CUST_6767,Frequent,SP_8952,Percentage,Defective,ORD_98186,Credit Card,,July
1750,Product_1750,Art & Sculpture,37,2207.11,495.73,460.8,1250.5800000000002,7/9/2024,East,In-store,CUST_2410,New,SP_8537,Fixed Amount,Change of Mind,ORD_53000,Credit Card,,July
1812,Product_1812,Christmas,32,1644.63,76.92,13.19,1554.52,7/9/2024,West,In-store,CUST_5519,New,SP_5175,Fixed Amount,Change of Mind,ORD_79210,Credit Card,,July
1830,Product_1830,Christmas,39,4101.28,203.62,219.84,3677.8199999999997,7/9/2024,East,In-store,CUST_2866,High-value,SP_7021,Percentage,-,ORD_53226,Cash,,July
1845,Product_1845,Art & Sculpture,5,1981.14,320.51,111.27,1549.3600000000001,7/9/2024,North,Online,CUST_3841,New,SP_9048,Percentage,Not as Described,ORD_66897,Cash,,July
1860,Product_1860,Art & Sculpture,7,1189.67,145.87,218.39,825.4100000000002,7/9/2024,South,Online,CUST_3697,High-value,SP_8439,Fixed Amount,Not as Described,ORD_20339,Cash,,July
1862,Product_1862,Home Decor,37,1666.84,332.98,482.89,850.9699999999999,7/9/2024,North,In-store,CUST_9232,High-value,SP_4720,Percentage,Defective,ORD_75506,Credit Card,,July
1887,Product_1887,Basket,45,2366.04,305.12,389.24,1671.68,7/9/2024,East,In-store,CUST_6814,High-value,SP_5945,Percentage,Defective,ORD_60236,Online Payment,,July
1892,Product_1892,Christmas,44,4864.31,96.9,69.42,4697.990000000001,7/9/2024,South,Online,CUST_8129,Frequent,SP_9695,Percentage,Defective,ORD_64459,Credit Card,,July
1900,Product_1900,Christmas,19,2967.22,56.67,68.31,2842.24,7/9/2024,South,Online,CUST_3166,Frequent,SP_2680,Fixed Amount,Defective,ORD_52450,Cash,,July
1912,Product_1912,Basket,48,3893.5,62.07,479.01,3352.42,7/9/2024,North,In-store,CUST_8804,High-value,SP_9223,Percentage,-,ORD_52409,Cash,,July
1924,Product_1924,Basket,38,4020.63,38,495.28,3487.3500000000004,7/9/2024,East,In-store,CUST_7295,Frequent,SP_6176,Fixed Amount,Change of Mind,ORD_89699,Cash,,July
1926,Product_1926,Home Decor,34,3858.82,344.41,370.98,3143.4300000000003,7/9/2024,West,Online,CUST_7682,Frequent,SP_3096,Percentage,Not as Described,ORD_44637,Credit Card,,July
1984,Product_1984,Art & Sculpture,35,1942.88,109.65,423.64,1409.5900000000001,7/9/2024,South,In-store,CUST_5063,New,SP_7737,Percentage,Defective,ORD_65027,Cash,,July
2002,Product_2002,Home Decor,6,1451.32,244.7,454.04,752.5799999999999,7/9/2024,North,Online,CUST_1927,High-value,SP_2297,Percentage,Change of Mind,ORD_56227,Online Payment,,July
2021,Product_2021,Christmas,9,1996.99,10.76,458.39,1527.8400000000001,7/9/2024,East,In-store,CUST_8978,New,SP_4767,Percentage,-,ORD_50074,Cash,,July
2035,Product_2035,Art & Sculpture,45,4293.2,248.84,204.1,3840.2599999999998,7/9/2024,West,Online,CUST_7656,Frequent,SP_8682,Percentage,Not as Described,ORD_58212,Credit Card,,July
2073,Product_2073,Christmas,50,1810.55,221.67,154.57,1434.31,7/9/2024,North,In-store,CUST_2446,New,SP_9401,Percentage,-,ORD_59544,Credit Card,,July
2109,Product_2109,Art & Sculpture,21,3865.1,241.21,478.65,3145.24,7/9/2024,West,Online,CUST_9305,New,SP_5208,Percentage,-,ORD_50715,Credit Card,,July
2110,Product_2110,Home Decor,20,3635.7,463.55,324.11,2848.0399999999995,7/9/2024,West,In-store,CUST_1922,Frequent,SP_3734,Fixed Amount,Not as Described,ORD_28723,Credit Card,,July
2158,Product_2158,Art & Sculpture,45,3370.78,169.24,417.38,2784.16,7/9/2024,North,Online,CUST_9136,New,SP_5613,Percentage,-,ORD_24919,Online Payment,,July
2182,Product_2182,Christmas,48,4633.89,11.04,278.23,4344.620000000001,7/9/2024,North,In-store,CUST_8843,New,SP_3599,Percentage,Change of Mind,ORD_98507,Online Payment,,July
2240,Product_2240,Christmas,27,2352.03,108.38,422.67,1820.98,7/9/2024,East,In-store,CUST_8676,New,SP_1629,Percentage,Not as Described,ORD_74360,Credit Card,,July
2246,Product_2246,Art & Sculpture,6,2752.84,478.18,454.58,1820.0800000000004,7/9/2024,North,Online,CUST_2093,New,SP_8032,Fixed Amount,Defective,ORD_53728,Credit Card,,July
2286,Product_2286,Home Decor,25,2756.38,260.76,130.96,2364.66,7/9/2024,East,Online,CUST_3665,High-value,SP_7328,Percentage,Not as Described,ORD_51231,Online Payment,,July
2290,Product_2290,Basket,34,1700.48,303.6,249.82,1147.0600000000002,7/9/2024,East,Online,CUST_7144,New,SP_2501,Fixed Amount,Not as Described,ORD_11579,Online Payment,,July
2371,Product_2371,Christmas,24,1127.31,6.5,8.4,1112.4099999999999,7/9/2024,South,Online,CUST_4247,Frequent,SP_3276,Percentage,-,ORD_81226,Cash,,July
2374,Product_2374,Art & Sculpture,14,1342.09,74.35,53.27,1214.47,7/9/2024,West,Online,CUST_1283,High-value,SP_5305,Percentage,Change of Mind,ORD_21906,Cash,,July
2393,Product_2393,Home Decor,24,2357.69,242.95,266.38,1848.3600000000001,7/9/2024,West,In-store,CUST_3607,Frequent,SP_7499,Fixed Amount,Change of Mind,ORD_83210,Online Payment,,July
2401,Product_2401,Art & Sculpture,24,3547.2,386.37,305.61,2855.22,7/9/2024,South,Online,CUST_2025,High-value,SP_1907,Fixed Amount,Change of Mind,ORD_59495,Cash,,July
2430,Product_2430,Christmas,44,2450.44,69.07,288.49,2092.88,7/9/2024,East,In-store,CUST_9558,Frequent,SP_6722,Percentage,Change of Mind,ORD_87285,Online Payment,,July
2452,Product_2452,Home Decor,10,4123.65,202.7,463.45,3457.5,7/9/2024,East,In-store,CUST_9933,High-value,SP_1549,Percentage,-,ORD_50155,Cash,,July
2482,Product_2482,Basket,43,3682.19,384.05,342.7,2955.44,7/9/2024,East,In-store,CUST_6490,New,SP_8338,Fixed Amount,Not as Described,ORD_33755,Online Payment,,July
2583,Product_2583,Christmas,5,2889.43,276.46,241.62,2371.35,7/9/2024,East,In-store,CUST_7498,New,SP_9200,Percentage,Not as Described,ORD_51765,Credit Card,,July
2611,Product_2611,Christmas,43,4187.7,401.09,117.24,3669.37,7/9/2024,North,Online,CUST_1403,High-value,SP_4228,Percentage,Change of Mind,ORD_62988,Online Payment,,July
2628,Product_2628,Art & Sculpture,20,4729.57,386.55,193.29,4149.73,7/9/2024,East,Online,CUST_3256,Frequent,SP_4374,Fixed Amount,-,ORD_51782,Online Payment,,July
2660,Product_2660,Art & Sculpture,39,3725.98,202.58,84.01,3439.39,7/9/2024,East,In-store,CUST_9142,High-value,SP_9552,Fixed Amount,Change of Mind,ORD_17053,Credit Card,,July
2715,Product_2715,Christmas,32,3687.62,317.08,334.72,3035.8199999999997,7/9/2024,North,Online,CUST_5117,New,SP_8400,Percentage,Defective,ORD_17959,Online Payment,,July
2719,Product_2719,Art & Sculpture,37,4947.44,416.11,468.59,4062.74,7/9/2024,South,Online,CUST_2230,New,SP_1818,Fixed Amount,Change of Mind,ORD_31954,Online Payment,,July
2733,Product_2733,Basket,22,1878.77,138.8,88.76,1651.21,7/9/2024,West,Online,CUST_1944,Frequent,SP_2005,Fixed Amount,Not as Described,ORD_49858,Cash,,July
2863,Product_2863,Home Decor,14,2798.45,490.31,356.11,1952.0299999999997,7/9/2024,South,In-store,CUST_7186,High-value,SP_1484,Percentage,Not as Described,ORD_41031,Credit Card,,July
2877,Product_2877,Home Decor,9,2009.9,413.33,105.58,1490.9900000000002,7/9/2024,North,Online,CUST_1781,High-value,SP_8138,Fixed Amount,-,ORD_87805,Credit Card,,July
2931,Product_2931,Home Decor,13,1926.29,102.62,300.57,1523.1000000000001,7/9/2024,East,Online,CUST_1618,High-value,SP_6757,Percentage,Defective,ORD_62730,Cash,,July
2973,Product_2973,Home Decor,11,2668.43,426.25,323.21,1918.9699999999998,7/9/2024,East,Online,CUST_6756,Frequent,SP_4756,Percentage,Not as Described,ORD_98970,Online Payment,,July
2989,Product_2989,Christmas,38,3047.66,30.89,68.91,2947.86,7/9/2024,South,Online,CUST_5732,Frequent,SP_8372,Fixed Amount,-,ORD_83554,Cash,,July
3025,Product_3025,Christmas,40,3736.52,27.95,340.39,3368.1800000000003,7/9/2024,East,Online,CUST_8615,Frequent,SP_5637,Percentage,Defective,ORD_86026,Online Payment,,July
3056,Product_3056,Basket,23,3635.22,214.08,402.01,3019.13,7/9/2024,West,In-store,CUST_9250,New,SP_3854,Percentage,Change of Mind,ORD_30449,Credit Card,,July
3067,Product_3067,Christmas,16,1879.25,467.99,180.35,1230.91,7/9/2024,North,In-store,CUST_2088,High-value,SP_9786,Percentage,Change of Mind,ORD_19009,Credit Card,,July
3083,Product_3083,Home Decor,38,3542.32,270.17,264.96,3007.19,7/9/2024,South,In-store,CUST_4774,High-value,SP_2943,Percentage,Not as Described,ORD_89200,Credit Card,,July
3169,Product_3169,Home Decor,13,3937.71,337.28,205.06,3395.3700000000003,7/9/2024,West,Online,CUST_2428,Frequent,SP_8259,Percentage,Not as Described,ORD_18954,Online Payment,,July
3212,Product_3212,Basket,35,3210.59,381.48,486.7,2342.4100000000003,7/9/2024,West,In-store,CUST_3438,High-value,SP_7238,Percentage,-,ORD_52840,Credit Card,,July
3244,Product_3244,Art & Sculpture,47,2830.62,250.42,399.41,2180.79,7/9/2024,West,In-store,CUST_2739,High-value,SP_2818,Percentage,Defective,ORD_42431,Credit Card,,July
3274,Product_3274,Home Decor,27,1436.56,337.76,416.22,682.5799999999999,7/9/2024,East,Online,CUST_7240,New,SP_1988,Fixed Amount,-,ORD_89922,Credit Card,,July
3324,Product_3324,Home Decor,12,3323.9,72.57,410.44,2840.89,7/9/2024,West,Online,CUST_8050,High-value,SP_6606,Percentage,Change of Mind,ORD_89797,Cash,,July
3337,Product_3337,Basket,20,4806.54,280.17,143.23,4383.14,7/9/2024,West,Online,CUST_2392,Frequent,SP_2397,Fixed Amount,Defective,ORD_23765,Cash,,July
3384,Product_3384,Art & Sculpture,11,2923.94,247.63,404.71,2271.6,7/9/2024,West,Online,CUST_7121,New,SP_8455,Fixed Amount,Change of Mind,ORD_41826,Credit Card,,July
3411,Product_3411,Art & Sculpture,30,4143.7,66.81,329.29,3747.6,7/9/2024,West,Online,CUST_7198,Frequent,SP_6345,Percentage,Defective,ORD_68184,Online Payment,,July
3470,Product_3470,Art & Sculpture,39,1207.93,332.87,78.05,797.0100000000001,7/9/2024,West,In-store,CUST_7818,Frequent,SP_2814,Fixed Amount,Not as Described,ORD_81833,Credit Card,,July
3482,Product_3482,Art & Sculpture,26,1231.31,335.22,499.38,396.7099999999999,7/9/2024,West,Online,CUST_3622,High-value,SP_4419,Percentage,Defective,ORD_10829,Cash,,July
3496,Product_3496,Basket,18,1349.01,434.57,274.74,639.7,7/9/2024,South,In-store,CUST_8366,New,SP_6553,Fixed Amount,-,ORD_36022,Online Payment,,July
3498,Product_3498,Home Decor,24,3500.12,412.33,436.08,2651.71,7/9/2024,East,Online,CUST_9759,Frequent,SP_5741,Percentage,Defective,ORD_53388,Online Payment,,July
3500,Product_3500,Christmas,25,1487.28,476.13,436.9,574.25,7/9/2024,North,Online,CUST_8758,High-value,SP_5957,Fixed Amount,Not as Described,ORD_98190,Cash,,July
3526,Product_3526,Christmas,41,3083.44,119.52,345.47,2618.45,7/9/2024,South,Online,CUST_1886,Frequent,SP_6805,Fixed Amount,Not as Described,ORD_38664,Online Payment,,July
3567,Product_3567,Christmas,36,4378.11,436.42,67.86,3873.8299999999995,7/9/2024,West,In-store,CUST_9296,Frequent,SP_8850,Fixed Amount,Change of Mind,ORD_49475,Credit Card,,July
3623,Product_3623,Basket,38,2929.1,218.2,450.33,2260.57,7/9/2024,East,Online,CUST_3484,Frequent,SP_9127,Percentage,-,ORD_17574,Cash,,July
3631,Product_3631,Art & Sculpture,24,4637.47,99.01,418.76,4119.7,7/9/2024,West,Online,CUST_4531,Frequent,SP_9628,Fixed Amount,-,ORD_34400,Cash,,July
3636,Product_3636,Home Decor,22,1546.34,247.87,196.85,1101.62,7/9/2024,South,In-store,CUST_9745,New,SP_3026,Fixed Amount,-,ORD_44815,Online Payment,,July
3660,Product_3660,Christmas,12,4365.95,388.03,149.23,3828.69,7/9/2024,South,Online,CUST_1132,High-value,SP_3720,Percentage,Defective,ORD_43979,Cash,,July
3671,Product_3671,Basket,38,3799.89,284.23,231.32,3284.3399999999997,7/9/2024,North,Online,CUST_2934,Frequent,SP_7556,Percentage,Defective,ORD_87727,Online Payment,,July
3713,Product_3713,Home Decor,15,3404.29,68.45,394.88,2940.96,7/9/2024,East,Online,CUST_5288,New,SP_8351,Fixed Amount,Not as Described,ORD_34124,Credit Card,,July
3744,Product_3744,Christmas,17,1097.84,208.28,219.82,669.74,7/9/2024,West,In-store,CUST_5364,High-value,SP_7811,Percentage,-,ORD_55427,Credit Card,,July
3751,Product_3751,Christmas,31,3068.13,348.3,328.55,2391.2799999999997,7/9/2024,North,Online,CUST_1731,New,SP_3993,Percentage,Change of Mind,ORD_18268,Online Payment,,July
3800,Product_3800,Home Decor,27,3205.18,77.19,404.33,2723.66,7/9/2024,North,In-store,CUST_1105,New,SP_2825,Percentage,Change of Mind,ORD_84638,Online Payment,,July
3863,Product_3863,Christmas,23,3992.94,465.54,426.79,3100.61,7/9/2024,East,Online,CUST_3988,Frequent,SP_9160,Percentage,Not as Described,ORD_33897,Credit Card,,July
3954,Product_3954,Basket,30,3712.46,191.7,255.08,3265.6800000000003,7/9/2024,West,Online,CUST_3076,Frequent,SP_8807,Percentage,Change of Mind,ORD_67546,Online Payment,,July
3982,Product_3982,Home Decor,8,3873.9,371.89,442.84,3059.17,7/9/2024,East,Online,CUST_1196,High-value,SP_4066,Fixed Amount,Not as Described,ORD_31674,Credit Card,,July
3991,Product_3991,Basket,13,3567.26,359.73,94.14,3113.3900000000003,7/9/2024,South,Online,CUST_2214,Frequent,SP_8273,Percentage,-,ORD_59723,Credit Card,,July
3992,Product_3992,Art & Sculpture,30,1191.44,449.36,17.14,724.94,7/9/2024,East,In-store,CUST_7382,High-value,SP_7356,Percentage,Not as Described,ORD_56466,Credit Card,,July
4002,Product_4002,Basket,11,3838.15,132.19,29.58,3676.38,7/9/2024,East,Online,CUST_7411,New,SP_2431,Percentage,Not as Described,ORD_62668,Online Payment,,July
4022,Product_4022,Christmas,32,2288.49,327.52,99.74,1861.2299999999998,7/9/2024,South,Online,CUST_1367,High-value,SP_5114,Fixed Amount,Not as Described,ORD_68632,Online Payment,,July
4051,Product_4051,Art & Sculpture,5,1566.09,190.78,53.71,1321.6,7/9/2024,North,In-store,CUST_1788,New,SP_6504,Fixed Amount,Change of Mind,ORD_47445,Online Payment,,July
4073,Product_4073,Christmas,36,4484.12,299.68,266.1,3918.3399999999997,7/9/2024,East,Online,CUST_8512,New,SP_7642,Percentage,Change of Mind,ORD_39621,Cash,,July
4087,Product_4087,Christmas,20,3789.57,62.52,431.94,3295.11,7/9/2024,South,In-store,CUST_4329,High-value,SP_1662,Percentage,Defective,ORD_73764,Cash,,July
4109,Product_4109,Basket,5,3351.86,174.35,115.69,3061.82,7/9/2024,North,In-store,CUST_8786,High-value,SP_2549,Percentage,-,ORD_52821,Credit Card,,July
4132,Product_4132,Christmas,39,1458.08,379.52,68.78,1009.78,7/9/2024,West,Online,CUST_7170,High-value,SP_3639,Fixed Amount,Not as Described,ORD_86094,Cash,,July
4145,Product_4145,Home Decor,40,3104.48,449.59,292.1,2362.79,7/9/2024,West,In-store,CUST_7347,Frequent,SP_4404,Percentage,Change of Mind,ORD_97029,Online Payment,,July
4163,Product_4163,Art & Sculpture,46,2337.88,469.16,314.6,1554.12,7/9/2024,East,In-store,CUST_1760,High-value,SP_2030,Fixed Amount,-,ORD_94065,Credit Card,,July
4232,Product_4232,Home Decor,33,2615.96,222.71,128.42,2264.83,7/9/2024,North,In-store,CUST_4871,New,SP_5817,Percentage,Not as Described,ORD_62733,Online Payment,,July
4234,Product_4234,Basket,27,2265.64,432.19,191.29,1642.1599999999999,7/9/2024,North,Online,CUST_5212,Frequent,SP_3707,Fixed Amount,-,ORD_93550,Cash,,July
4241,Product_4241,Christmas,34,4373.52,207.31,33.32,4132.89,7/9/2024,North,Online,CUST_1470,Frequent,SP_4409,Fixed Amount,-,ORD_47804,Credit Card,,July
4244,Product_4244,Basket,27,2451.77,339.71,20.15,2091.91,7/9/2024,East,Online,CUST_5834,Frequent,SP_9302,Percentage,Not as Described,ORD_44916,Credit Card,,July
4246,Product_4246,Art & Sculpture,13,2702.4,386.66,404.86,1910.88,7/9/2024,West,Online,CUST_1324,Frequent,SP_1883,Fixed Amount,Change of Mind,ORD_31347,Online Payment,,July
4291,Product_4291,Art & Sculpture,14,4283.12,122.22,192.25,3968.6499999999996,7/9/2024,North,In-store,CUST_7203,Frequent,SP_2184,Percentage,Not as Described,ORD_16826,Online Payment,,July
4401,Product_4401,Home Decor,17,3184.63,415.03,393.09,2376.51,7/9/2024,West,In-store,CUST_1024,Frequent,SP_6395,Fixed Amount,Change of Mind,ORD_53067,Credit Card,,July
4422,Product_4422,Home Decor,37,3572.49,118.14,192.54,3261.81,7/9/2024,North,Online,CUST_9987,High-value,SP_5451,Fixed Amount,Defective,ORD_14668,Cash,,July
4445,Product_4445,Home Decor,29,3600.24,20.55,458.49,3121.2,7/9/2024,South,Online,CUST_7703,New,SP_4079,Fixed Amount,Change of Mind,ORD_27527,Credit Card,,July
4467,Product_4467,Home Decor,11,2085.34,56.03,169.61,1859.7000000000003,7/9/2024,West,Online,CUST_2294,High-value,SP_1486,Percentage,Not as Described,ORD_66544,Online Payment,,July
4475,Product_4475,Basket,32,1382.49,363,53.3,966.19,7/9/2024,South,Online,CUST_8968,New,SP_3400,Percentage,-,ORD_36126,Credit Card,,July
4480,Product_4480,Basket,14,1199.11,493.73,309.34,396.0399999999999,7/9/2024,West,In-store,CUST_1770,High-value,SP_3036,Percentage,Defective,ORD_36588,Credit Card,,July
4500,Product_4500,Basket,17,4990.7,133.91,399.64,4457.15,7/9/2024,South,Online,CUST_2436,High-value,SP_1265,Fixed Amount,Change of Mind,ORD_40690,Cash,,July
